net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
alexnet,1,RVvGV,1.0,1.0,0.0
alexnet,1,RVvRHGV,1.0,1.0,0.0
alexnet,1,2_v_5,1.0,1.0,0.0
alexnet,2,RVvGV,1.0,1.0,0.0
alexnet,2,RVvRHGV,1.0,1.0,0.0
alexnet,2,2_v_5,1.0,0.9849624060150376,-0.015037593984962405
alexnet,3,RVvGV,1.0,1.0,0.0
alexnet,3,RVvRHGV,1.0,1.0,0.0
alexnet,3,2_v_5,1.0,1.0,0.0
alexnet,4,RVvGV,1.0,1.0,0.0
alexnet,4,RVvRHGV,1.0,1.0,0.0
alexnet,4,2_v_5,1.0,1.0,0.0
alexnet,5,RVvGV,1.0,1.0,0.0
alexnet,5,RVvRHGV,1.0,1.0,0.0
alexnet,5,2_v_5,1.0,0.9849624060150376,-0.015037593984962405
alexnet,6,RVvGV,1.0,1.0,0.0
alexnet,6,RVvRHGV,1.0,1.0,0.0
alexnet,6,2_v_5,1.0,0.9924812030075187,-0.007518796992481258
alexnet,7,RVvGV,1.0,1.0,0.0
alexnet,7,RVvRHGV,1.0,1.0,0.0
alexnet,7,2_v_5,1.0,0.9981203007518797,-0.001879699248120259
alexnet,8,RVvGV,1.0,1.0,0.0
alexnet,8,RVvRHGV,1.0,1.0,0.0
alexnet,8,2_v_5,1.0,1.0,0.0
VGG16,1,RVvGV,1.0,1.0,0.0
VGG16,1,RVvRHGV,1.0,1.0,0.0
VGG16,1,2_v_5,1.0,1.0,0.0
VGG16,2,RVvGV,1.0,1.0,0.0
VGG16,2,RVvRHGV,1.0,1.0,0.0
VGG16,2,2_v_5,1.0,1.0,0.0
VGG16,3,RVvGV,1.0,1.0,0.0
VGG16,3,RVvRHGV,1.0,1.0,0.0
VGG16,3,2_v_5,1.0,1.0,0.0
VGG16,4,RVvGV,1.0,1.0,0.0
VGG16,4,RVvRHGV,1.0,1.0,0.0
VGG16,4,2_v_5,1.0,1.0,0.0
VGG16,5,RVvGV,1.0,1.0,0.0
VGG16,5,RVvRHGV,1.0,1.0,0.0
VGG16,5,2_v_5,1.0,1.0,0.0
VGG16,6,RVvGV,1.0,1.0,0.0
VGG16,6,RVvRHGV,1.0,1.0,0.0
VGG16,6,2_v_5,1.0,1.0,0.0
VGG16,7,RVvGV,1.0,1.0,0.0
VGG16,7,RVvRHGV,1.0,1.0,0.0
VGG16,7,2_v_5,1.0,1.0,0.0
VGG16,8,RVvGV,1.0,1.0,0.0
VGG16,8,RVvRHGV,1.0,1.0,0.0
VGG16,8,2_v_5,1.0,1.0,0.0
CORnet_Z,1,RVvGV,1.0,1.0,0.0
CORnet_Z,1,RVvRHGV,1.0,1.0,0.0
CORnet_Z,1,2_v_5,1.0,0.9774436090225563,-0.022556390977443663
CORnet_Z,2,RVvGV,1.0,1.0,0.0
CORnet_Z,2,RVvRHGV,1.0,1.0,0.0
CORnet_Z,2,2_v_5,1.0,0.9830827067669173,-0.016917293233082664
CORnet_Z,3,RVvGV,1.0,1.0,0.0
CORnet_Z,3,RVvRHGV,1.0,1.0,0.0
CORnet_Z,3,2_v_5,1.0,0.9924812030075187,-0.007518796992481258
CORnet_Z,4,RVvGV,1.0,1.0,0.0
CORnet_Z,4,RVvRHGV,1.0,1.0,0.0
CORnet_Z,4,2_v_5,1.0,0.9793233082706767,-0.020676691729323293
CORnet_Z,5,RVvGV,1.0,1.0,0.0
CORnet_Z,5,RVvRHGV,1.0,1.0,0.0
CORnet_Z,5,2_v_5,1.0,0.9868421052631579,-0.013157894736842146
CORnet_Z,6,RVvGV,1.0,1.0,0.0
CORnet_Z,6,RVvRHGV,1.0,1.0,0.0
CORnet_Z,6,2_v_5,1.0,0.9962406015037594,-0.003759398496240629
CORnet_Z,7,RVvGV,1.0,1.0,0.0
CORnet_Z,7,RVvRHGV,1.0,1.0,0.0
CORnet_Z,7,2_v_5,1.0,0.9906015037593985,-0.009398496240601517
CORnet_Z,8,RVvGV,1.0,1.0,0.0
CORnet_Z,8,RVvRHGV,1.0,1.0,0.0
CORnet_Z,8,2_v_5,1.0,0.9981203007518797,-0.001879699248120259
CORnet_S,1,RVvGV,1.0,1.0,0.0
CORnet_S,1,RVvRHGV,1.0,1.0,0.0
CORnet_S,1,2_v_5,1.0,1.0,0.0
CORnet_S,2,RVvGV,1.0,1.0,0.0
CORnet_S,2,RVvRHGV,1.0,1.0,0.0
CORnet_S,2,2_v_5,1.0,1.0,0.0
CORnet_S,3,RVvGV,1.0,1.0,0.0
CORnet_S,3,RVvRHGV,1.0,1.0,0.0
CORnet_S,3,2_v_5,1.0,1.0,0.0
CORnet_S,4,RVvGV,1.0,1.0,0.0
CORnet_S,4,RVvRHGV,1.0,1.0,0.0
CORnet_S,4,2_v_5,1.0,0.9981203007518797,-0.001879699248120259
CORnet_S,5,RVvGV,1.0,1.0,0.0
CORnet_S,5,RVvRHGV,1.0,1.0,0.0
CORnet_S,5,2_v_5,1.0,0.9981203007518797,-0.001879699248120259
CORnet_S,6,RVvGV,1.0,1.0,0.0
CORnet_S,6,RVvRHGV,1.0,1.0,0.0
CORnet_S,6,2_v_5,1.0,1.0,0.0
CORnet_S,7,RVvGV,1.0,1.0,0.0
CORnet_S,7,RVvRHGV,1.0,1.0,0.0
CORnet_S,7,2_v_5,1.0,0.9981203007518797,-0.001879699248120259
CORnet_S,8,RVvGV,1.0,1.0,0.0
CORnet_S,8,RVvRHGV,1.0,1.0,0.0
CORnet_S,8,2_v_5,1.0,1.0,0.0
